# Geofeed for AS214242 (Jiaxing Xing)
# https://asn.aldrichx.uk
# Source: https://geofeed.aldrichx.uk/geofeed.csv
# Contact: geofeed@aldrichx.uk
# Format: https://datatracker.ietf.org/doc/html/rfc8805
# Format: IP Prefix, Country Code, Region, City, Postal Code
# Example: 192.0.2.0/24,US,CA,Los Angeles,90001
# 
# 2a0c:9a46:0300::/40 Block start 
2a0c:9a46:301::/48,AD,AD-07,Andorra la Vella,
2a0c:9a46:302::/48,AE,AE-AZ,Abu Dhabi,
2a0c:9a46:303::/48,AF,AF-KAB,Kabul,
2a0c:9a46:304::/48,AG,AG-04,Saint John,
2a0c:9a46:305::/48,AI,,The Valley,
2a0c:9a46:306::/48,AL,AL-11,Tirana,
2a0c:9a46:307::/48,AM,AM-ER,Yerevan,
2a0c:9a46:308::/48,AO,AO-LUA,Luanda,
2a0c:9a46:309::/48,AQ,,McMurdo,
2a0c:9a46:30a::/48,AR,AR-C,Ciudad Autónoma de Buenos Aires,
2a0c:9a46:30b::/48,AS,,American Samoa,
2a0c:9a46:30c::/48,AT,AT-9,Vienna,
2a0c:9a46:30d::/48,AU,AU-ACT,Canberra,
2a0c:9a46:30e::/48,AW,,Oranjestad,
2a0c:9a46:30f::/48,AX,,Mariehamn,
2a0c:9a46:310::/48,AZ,AZ-BA,Bakı,
2a0c:9a46:311::/48,BA,BA-BIH,Sarajevo,
2a0c:9a46:312::/48,BB,BB-08,Bridgetown,
2a0c:9a46:313::/48,BD,BD-C,Dhaka,
2a0c:9a46:314::/48,BE,BE-BRU,Brussels,
2a0c:9a46:315::/48,BF,BF-03,Ouagadougou,
2a0c:9a46:316::/48,BG,BG-22,Sofiya,
2a0c:9a46:317::/48,BH,BH-13,Manama,
2a0c:9a46:318::/48,BI,BI-GI,Gitega,
2a0c:9a46:319::/48,BJ,BJ-OU,Porto-Novo,
2a0c:9a46:31a::/48,BL,,Gustavia,
2a0c:9a46:31b::/48,BM,,Hamilton,
2a0c:9a46:31c::/48,BN,BN-BM,Bandar Seri Begawan,
2a0c:9a46:31d::/48,BO,BO-H,Sucre,
2a0c:9a46:31e::/48,BQ,BQ-BO,Kralendijk,
2a0c:9a46:31f::/48,BR,BR-SP,São Paulo,
2a0c:9a46:320::/48,BS,BS-NP,Nassau,
2a0c:9a46:321::/48,BT,BT-15,Thimphu,
2a0c:9a46:322::/48,BV,,Bouvet Island,
2a0c:9a46:323::/48,BW,BW-GA,Gaborone,
2a0c:9a46:324::/48,BY,BY-MI,Minsk,
2a0c:9a46:325::/48,BZ,BZ-CY,Belmopan,
2a0c:9a46:326::/48,CA,CA-ON,Toronto,
2a0c:9a46:327::/48,CC,,West Island,
2a0c:9a46:328::/48,CD,CD-KN,Kinshasa,
2a0c:9a46:329::/48,CF,CF-BGF,Bangui,
2a0c:9a46:32a::/48,CG,CG-BZV,Brazzaville,
2a0c:9a46:32b::/48,CH,CH-ZH,Zurich,
2a0c:9a46:32c::/48,CI,CI-AB,Abidjan,
2a0c:9a46:32d::/48,CK,,Avarua,
2a0c:9a46:32e::/48,CL,CL-RM,Santiago,
2a0c:9a46:32f::/48,CM,CM-LT,Douala,
2a0c:9a46:330::/48,CN,CN-SH,Shanghai,
2a0c:9a46:331::/48,CO,CO-DC,Bogotá,
2a0c:9a46:332::/48,CR,CR-SJ,San José,
2a0c:9a46:333::/48,CU,CU-03,Havana,
2a0c:9a46:334::/48,CV,CV-PR,Praia,
2a0c:9a46:335::/48,CW,,Willemstad,
2a0c:9a46:336::/48,CX,,Flying Fish Cove,
2a0c:9a46:337::/48,CY,CY-01,Nicosia,
2a0c:9a46:338::/48,CZ,CZ-10,Prague,
2a0c:9a46:339::/48,DE,DE-HE,Frankfurt,
2a0c:9a46:33a::/48,DJ,DJ-DJ,Djibouti City,
2a0c:9a46:33b::/48,DK,DK-84,Copenhagen,
2a0c:9a46:33c::/48,DM,DM-04,Roseau,
2a0c:9a46:33d::/48,DO,DO-01,Santo Domingo,
2a0c:9a46:33e::/48,DZ,DZ-16,Algiers,
2a0c:9a46:33f::/48,EC,EC-G,Guayaquil,
2a0c:9a46:340::/48,EE,EE-37,Tallinn,
2a0c:9a46:341::/48,EG,EG-C,Cairo,
2a0c:9a46:342::/48,EH,,Laayoune,
2a0c:9a46:343::/48,ER,ER-MA,Asmara,
2a0c:9a46:344::/48,ES,ES-MD,Madrid,
2a0c:9a46:345::/48,ET,ET-AA,Addis Ababa,
2a0c:9a46:346::/48,FI,FI-18,Helsinki,
2a0c:9a46:347::/48,FJ,FJ-C,Suva,
2a0c:9a46:348::/48,FK,,Stanley,
2a0c:9a46:349::/48,FM,FM-PNI,Palikir,
2a0c:9a46:34a::/48,FO,,Tórshavn,
2a0c:9a46:34b::/48,FR,FR-IDF,Paris,
2a0c:9a46:34c::/48,GA,GA-1,Libreville,
2a0c:9a46:34d::/48,GB,GB-LND,London,
2a0c:9a46:34e::/48,GD,GD-03,St. George's,
2a0c:9a46:34f::/48,GE,GE-TB,Tbilisi,
2a0c:9a46:350::/48,GF,,Cayenne,
2a0c:9a46:351::/48,GG,,St. Peter Port,
2a0c:9a46:352::/48,GH,GH-AA,Accra,
2a0c:9a46:353::/48,GI,,Gibraltar,
2a0c:9a46:354::/48,GL,GL-SM,Nuuk,
2a0c:9a46:355::/48,GM,GM-B,Serrekunda,
2a0c:9a46:356::/48,GN,GN-C,Conakry,
2a0c:9a46:357::/48,GP,,Pointe-à-Pitre,
2a0c:9a46:358::/48,GQ,GQ-LI,"Bata, Malabo",
2a0c:9a46:359::/48,GR,GR-I,Athens,
2a0c:9a46:35a::/48,GS,,King Edward Point,
2a0c:9a46:35b::/48,GT,GT-01,Guatemala City,
2a0c:9a46:35c::/48,GU,,Dededo,
2a0c:9a46:35d::/48,GW,GW-BS,Bissau,
2a0c:9a46:35e::/48,GY,GY-DE,Georgetown,
2a0c:9a46:35f::/48,HK,,Hong Kong,
2a0c:9a46:360::/48,HM,,Mawson Peak,
2a0c:9a46:361::/48,HN,HN-FM,Tegucigalpa,
2a0c:9a46:362::/48,HR,HR-21,Zagreb,
2a0c:9a46:363::/48,HT,HT-OU,Port-au-Prince,
2a0c:9a46:364::/48,HU,HU-BU,Budapest,
2a0c:9a46:365::/48,ID,ID-JK,Jakarta,
2a0c:9a46:366::/48,IE,IE-D,Dublin,
2a0c:9a46:367::/48,IL,IL-TA,Tel Aviv,
2a0c:9a46:368::/48,IM,,Douglas,
2a0c:9a46:369::/48,IN,IN-DL,New Delhi,
2a0c:9a46:36a::/48,IO,,Diego Garcia,
2a0c:9a46:36b::/48,IQ,IQ-BG,Baghdad,
2a0c:9a46:36c::/48,IR,IR-23,Tehran,
2a0c:9a46:36d::/48,IS,IS-RKV,Reykjavík,
2a0c:9a46:36e::/48,IT,IT-62,Rome,
2a0c:9a46:36f::/48,JE,,St Helier,
2a0c:9a46:370::/48,JM,JM-01,Kingston,
2a0c:9a46:371::/48,JO,JO-AM,Amman,
2a0c:9a46:372::/48,JP,JP-13,Tokyo,
2a0c:9a46:373::/48,KE,KE-30,Nairobi,
2a0c:9a46:374::/48,KG,KG-GB,Bishkek,
2a0c:9a46:375::/48,KH,KH-12,Phnom Penh,
2a0c:9a46:376::/48,KI,KI-G,South Tarawa,
